author,book,quote,score,score_num
海明威,老人与海,正是悲壮赋予生活以意义,8.3,57333
张德芬,遇见未知的自己,都市灵修速成,8.1,55738
[英] 乔治·奥威尔,一九八四·动物农场,一个预言和一个寓言，令人窒息的政治恐怖,9.3,25270
[巴西]保罗·柯艾略,牧羊少年奇幻之旅,你自己就是最大的宝藏,8.6,58049
[英] 阿·柯南道尔,福尔摩斯探案全集（上中下）,侦探小说鼻祖,9.2,49834
郭敬明,小时代1.0折纸时代,温习了很多奢侈品品牌名称,6.5,61792
[美] 弗拉基米尔·纳博科夫,洛丽塔,我的生命之光，我的欲望之火,7.7,56010
[哥伦比亚] 加西亚·马尔克斯,百年孤独,拉丁美洲圣经,8.9,48439
[日] 村上春树,1Q84 BOOK 2,情节铺展渐次清明，高潮序曲,8.4,52145
安妮宝贝,素年锦时,呢喃自语，清简自持,7.8,52457
[日] 岩井俊二,情书,一场误会中的两段爱情，东方式的含蓄隐忍,8.6,49663
蔡智恒,第一次的亲密接触,那时候，去麦当劳约会还很高端……,7.4,53321
金庸,神雕侠侣,至情至性，情大于武,8.8,47264
韩寒,一座城池,可能是韩寒最好笑的小说,7.4,52999
小仲马,茶花女,妓女应当拥有爱情吗？,8.2,51477
[美国] J. D. 塞林格,麦田里的守望者,塞林格的麦田里，到处是坠落的青春,7.9,52746
韩寒,他的国,总有光芒将你引导到清澈的地方,7.5,51310
安妮宝贝,彼岸花,安妮宝贝第一部长篇，现实与虚构的重合,7.8,48949
笛安,西决,无关风月的非典型青春小说,7.9,48668
[英] 阿加莎·克里斯蒂,东方快车谋杀案,谋杀诡计惊人，波洛的抉择耐人寻味,9.0,41241
[日] 村上春树,挪威的森林,初读是色情，再读是爱情，三读是世情,8.5,51760
文：安东尼,这些都是你给我的爱,只言片语的温暖,8.4,44949
吴念真,这些人，那些事,平淡叙述下的惊心动魄,8.8,44230
安妮宝贝,八月未央,八月是一阵季风，生命是一场幻觉,7.5,48674
[日] 村上春树,当我谈跑步时我谈些什么,村上同志告诉我们，身体是革命的本钱,8.1,47897
当年明月,明朝那些事儿（贰）,万国来朝与北京保卫战，燃,8.9,43699
安妮宝贝,清醒纪,遗忘就和记得一样是送给彼此的纪念,7.9,45309
[奥] 斯台芬·茨威格,一个陌生女人的来信,暗恋的极致,8.7,46792
蔡康永 著,蔡康永的说话之道,会说话的人运气都不会太差,7.1,50471
(法)马克·李维,偷影子的人,为偷来的影子找到光芒,7.8,55349
安东尼,陪安东尼度过漫长岁月,真正的片段式写作,8.3,43123
王小波,沉默的大多数,沉默是沉默者的通行证,9.1,44282
陈忠实,白鹿原,中国乡村史诗,8.6,46261
[美国] 桑德拉·希斯内罗丝,芒果街上的小屋,那些微尘般漂浮的生活,7.8,44829
（法）莫泊桑,羊脂球,资产阶级的道貌岸然,8.1,44852
[英] 笛福,鲁滨逊漂流记,最早的荒野求生,8.0,46039
[日] 井上雄彦,灌篮高手31,全剧终,9.5,27219
三毛,撒哈拉的故事,游荡的自由灵魂,9.2,39895
[法]雨果,巴黎圣母院,潜藏于残缺下的美与崇高,8.3,43462
[美] 斯蒂芬·金,肖申克的救赎,希望让人自由，电影实在太有名,9.1,40492
[美国] J. D. 塞林格,麦田里的守望者,反英雄霍尔顿的一生,8.1,43874
[美] 伍绮诗,无声告白,莉迪亚死了，可他们还不知道,8.2,50273
（日）东野圭吾,嫌疑人X的献身,东野说，这是最纯粹的爱情,9.0,40140
艾米,山楂树之恋,明净单纯,7.8,41432
唐七公子,华胥引（全二册）,现实不如梦中的圆满,8.5,40507
幾米,地下铁,黑暗世界中的点滴亮光,8.3,39840
[日] 村上春树,且听风吟,我们通过孤独与世界沟通,7.8,43416
[苏] 尼·奥斯特洛夫斯基,钢铁是怎样炼成的,激情燃烧的岁月，特殊年代的经典,7.6,44867
张爱玲,红玫瑰与白玫瑰,蚊子血还是饭黏子？,8.4,41227
安意如,人生若只如初见,是“何事秋风悲画扇”，不是西风,7.2,43712
太宰治,人间失格,令人无从怜悯的绝望,8.3,48715
天下霸唱,鬼吹灯之精绝古城,盗墓祖师名不虚传,8.1,41047
（丹麦）安徒生,安徒生童话故事集,远不是童话那么简单,9.2,36375
鲁迅,呐喊,新文学的第一声呐喊,8.8,38734
张爱玲,小团圆,自传性作品，团圆只存在幻灭之中,7.6,41519
明晓溪,泡沫之夏,霸道总裁爱上我,6.9,43173
明晓溪,会有天使替我爱你,理想化,6.6,44172
[英] 乔治·奥威尔,1984,栗树荫下，我出卖你，你出卖我,9.3,45762
落落,年华是无效信,女生间的微妙友谊,7.6,39612
〔日〕东野圭吾,幻夜,《白夜行》续篇，恶的幻夜吞噬一切,7.5,44733
[美] 杰克·凯鲁亚克,在路上,我们非去不可，在到达之前，永不停止,7.8,39318
金庸,射雕英雄传（全四册）,侠之大者，为国为民,8.9,33897
当年明月,明朝那些事儿（1-9）,不拘一格的历史书写,9.1,39460
幾米,月亮忘記了,月明星稀的晚上，看不见的，看见了,8.6,35868
当年明月,明朝那些事儿（叁）,圣人般的王守仁，大娱乐家朱厚照,8.9,36367
三毛,哭泣的骆驼,沙漠中寻常的生与死,8.9,30839
辛夷坞,原来你还在这里,还在的只有回忆,7.6,38917
张爱玲,半生缘,世钧，我们回不去了,8.6,37867
江南,此间的少年,象牙塔里的金庸群侠,8.4,36153
宋鸿兵 编著,货币战争,无所不能的罗斯柴尔德家族,7.2,40087
匪我思存,佳期如梦,玛丽苏成人童话,7.9,36403
